"cand_id","cand_name","cand_pty_affiliation"
"P60005865","RAPHAEL, DAVID MD","OTH"
"P60005873","WINDETT, JEFFREY JAMES MR","DEM"
"P60005881","PINKNEY BUTTS, PAMELA M REV","OTH"
"P60005899","BOWHALL, WILLIAM ERNEST JR","IND"
"P60005907","FLEMING-HODGE, LORI LYNN","IND"
"P60005915","CARSON, BENJAMIN S SR MD","REP"
"P60005923","BRUCATO, GEORGE JAMES","DEM"
"P60005931","BUTTOCKS, SYDNEYS VOLUPTOUS","IND"
"P60005949","HAHN, MARTIN","IND"
"P60005964","MICHAELS, DANIEL TRAVIS","DEM"
"P60005972","EVERSON, MARK","REP"
"P60005980","JONES, SUE LISA","IND"
"P60005998","LAUREL-SMITH, ABBEY","IND"
"P60006012","MITCHELL, JAMES CREIGHTON MR JR","REP"
"P60006038","PFLEIDERER, REBECCA","NNE"
"P60006046","WALKER, SCOTT","REP"
"P60006053","ANDERSON, JOSEPH EDWARD DR. JR.","REP"
"P60006061","GIVIDEN, KENN","OTH"
"P60006079","WAYMIRE, BARBARA JOY","LIB"
"P60006087","BENNETT, DANNY MICHAEL MR. II","UNI"
"P60006095","LAVIGNE, JONATHAN PAUL","DEM"
"P60006103","DUFFY, ANDREW ELIJAH MISTER","IND"
"P60006111","CRUZ, RAFAEL EDWARD 'TED'","REP"
"P60006129","EVANS, JONATHAN THOMAS","IND"
"P60006137","BRUMMETT, JAMES CARL","IND"
"P60006145","CINCOTTA, CHRISTOPHER JOHN","IND"
"P60006152","SHEPARD, RYAN W MR.","NPA"
"P60006160","RHODES, LEE","DEM"
"P60006178","BORIS, ROBERT","UN"
"P60006186","BORIS, ROBERT IGOR MR.","UN"
"P60006194","FANNING, CHARLES RAYMOND","OTH"
"P60006210","IRWIN, THOMAS J","OTH"
"P60006228","KERBEL, STEVEN ELLIOTT","LIB"
"P60006236","CASTLEBERRY, FRANCIS RAYMOND","REP"
"P60006244","QUARTEY, MARY AKU","DEM"
"P60006251","SHRUM, RICHARD LYNN MR","IND"
"P60006277","INCE, CECIL ANTHONY","LIB"
"P60006285","PICA, LOUIS S","NNE"
"P60006293","CAPONE, DEAN ALAN MR.","OTH"
"P60006301","SHAHMORADI, ANTHONY AHMED","IND"
"P60006319","BREYFOGLE, PETER HOWARD MR","NPA"
"P60006327","OLEYAR, JEFFREY M","W"
"P60006335","TORREZ, MATTHEW MR.","NNE"
"P60006343","DONGES, KEVIN A","IND"
"P60006350","JACKSON, ROLAND","UNK"
"P60006368","REED, C C","OTH"
"P60006376","PODERS, ERIC M","IND"
"P60006392","TAUS, DAN B.","IND"
"P60006400","MILLIGAN, JEREMY LEE MR.","A99"
"P60006418","KAMINSKY, GLENN MR.","DEM"
"P60006426","LOWE, DONALD EUGENE","IND"
"P60006434","DONALDSON, KENNETH","REP"
"P60006442","GAFFEN, ADAM","IND"
"P60006459","MCNEAL JOHNSON, WILLIAM JOSEPH","IND"
"P60006467","SABBAG, DOUGLAS WALTER","REP"
"P60006475","MACLEOD, ROBERT ALLEN MR. JR.","AME"
"P60006483","JANDA, DARIN DONALD MR","IND"
"P60006491","WHITE, DANIEL","GRE"
"P60006509","BONIFICIA, ANTHONY A JR","REP"
"P60006517","HOWARD, WILLIAM BURN MR","IND"
"P60006525","FOSTER, GREGORY A","IND"
"P60006533","O'GRADY, TIMOTHY PATRICK","IND"
"P60006541","PERERA, RYAN JOSEPH QUINTON MR.","COM"
"P60006558","MURPHY, JUSTIN ROBERT MR","GRE"
"P60006566","SIGSBY, ROBERT WAYNE","IND"
"P60006574","THOMAS, JUDAH","IND"
"P60006582","HOGAN, DANIEL JARED MR","UN"
"P60006590","SHIRLEY, MARK G","NPA"
"P60006608","OATMAN, MICHAEL REVEREND","IND"
"P60006616","BERMAN, MARYANNE BRIDGET","IAP"
"P60006624","FROEBER, WILL MR.","IND"
"P60006632","NAGEL, ERIC","IND"
"P60006640","MOYNIHAN, SHAWN STEPHEN","IND"
"P60006657","MCMANUS, MYLES MR.","UN"
"P60006665","MICKERT, ANDREW CHARLES","OTH"
"P60006673","DEAME, KEVIN","OTH"
"P60006681","MCEACHERN, JENNIFER ANN","IND"
"P60006699","LIVINGSTON, DAVID BLAINE","OTH"
"P60006707","RAFFONE, JOHN LOUIS MR","DEM"
"P60006715","NEFF, CRAIG ALAN MR.","NPA"
"P60006723","RUBIO, MARCO","REP"
"P60006731","MILLER, RAYMOND MELVIN","REP"
"P60006749","LYNCH, WILLIAM THOMAS MR","OTH"
"P60006756","SKEENS, D R","OTH"
"P60006772","OWENS, WARREN PATRICK","UN"
"P60006780","CROMBIE, MELODY ANNE MRS.","REP"
"P60006798","KLINE, CHAD CHRISTOPHER","W"
"P60006806","SALYER, WILLIAM BRIAN","NPA"
"P60006814","LYNCH, DENNIS M","REP"
"P60006822","PERRY, CHARLES CHAZ LELAND III","IND"
"P60006830","VANDEWEGE, MARK ALLEN","IND"
"P60006848","JOSEPHS, KEITH DANIEL MR.","IND"
"P60006855","BLAIR, MICHAEL KENT","IND"
"P60006863","CROSTON, TIMOTHY","NNE"
"P60006871","DUNCAN, LARRY WELDON","NNE"
"P60006889","MOORE, TIMOTHY JAY MR.","REP"
"P60006897","WELLS, ANDRE","W"
"P60006905","UHRIC, RAYMOND JOHN","DEM"
"P60006913","MAUL, LESTER RALPH MR JR","DEM"
